account_id,churn_probability,churn_probability_percent,risk_drivers,retention_protectors,risk_level,explanation
A-970c97,0.017060545018834306,1.7%,"Country de; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction is strong; average session duration is strong (68.50 min); customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: Country de; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction is strong; average session duration is strong (68.50 min); customer was acquired via event-based channels, which historically show higher churn volatility."
A-dec005,0.015489346398900762,1.5%,"customer sentiment is consistently negative, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country us","Seats; long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer sentiment is consistently negative, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country us. Retention signals: Seats; long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality."
A-df1e44,0.020508018444775792,2.1%,"long-term satisfaction is moderate; Country uk; customer was acquired through partner channels, where churn depends on integration quality","customer was acquired organically, a cohort associated with higher retention; customer was acquired via event-based channels, which historically show higher churn volatility; Seats",Low Risk,"Predicted churn risk is 2.1%. Key risk drivers: long-term satisfaction is moderate; Country uk; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: customer was acquired organically, a cohort associated with higher retention; customer was acquired via event-based channels, which historically show higher churn volatility; Seats."
A-2f6a32,0.019472164121893024,1.9%,"long-term satisfaction is moderate; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Seats","customer was acquired organically, a cohort associated with higher retention; customer was acquired via event-based channels, which historically show higher churn volatility; customer is currently in the trial phase, a stage characterized by high churn variability",Low Risk,"Predicted churn risk is 1.9%. Key risk drivers: long-term satisfaction is moderate; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Seats. Retention signals: customer was acquired organically, a cohort associated with higher retention; customer was acquired via event-based channels, which historically show higher churn volatility; customer is currently in the trial phase, a stage characterized by high churn variability."
A-1f0636,0.018006517381477974,1.8%,Ticket elevated; moderate support request volume (2 tickets); average session duration is strong (76.48 min),"customer was acquired through partner channels, where churn depends on integration quality; Seats; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: Ticket elevated; moderate support request volume (2 tickets); average session duration is strong (76.48 min). Retention signals: customer was acquired through partner channels, where churn depends on integration quality; Seats; customer was acquired via event-based channels, which historically show higher churn volatility."
A-2922b6,0.017191568827614863,1.7%,"long-term satisfaction scores are historically low, a strong churn predictor; customer sentiment is consistently negative, a strong churn predictor; average session duration is strong (22.40 min)","customer was acquired organically, a cohort associated with higher retention; Recent ticket count; Reason code competitor",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: long-term satisfaction scores are historically low, a strong churn predictor; customer sentiment is consistently negative, a strong churn predictor; average session duration is strong (22.40 min). Retention signals: customer was acquired organically, a cohort associated with higher retention; Recent ticket count; Reason code competitor."
A-2ebb4b,0.017028731558402063,1.7%,average session duration is moderate (7.82 min); moderate support request volume (2 tickets); Ticket stable,long-term satisfaction is moderate; Reason code features; Recent ticket count,Low Risk,Predicted churn risk is 1.7%. Key risk drivers: average session duration is moderate (7.82 min); moderate support request volume (2 tickets); Ticket stable. Retention signals: long-term satisfaction is moderate; Reason code features; Recent ticket count.
A-bf7919,0.015702347928820762,1.6%,"long-term satisfaction is moderate; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Reason code support","Seats; average session duration is strong (81.07 min); customer was acquired organically, a cohort associated with higher retention",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: long-term satisfaction is moderate; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Reason code support. Retention signals: Seats; average session duration is strong (81.07 min); customer was acquired organically, a cohort associated with higher retention."
A-d77f4c,0.016688976733723566,1.7%,"average session duration is strong (65.33 min); customer is currently in the trial phase, a stage characterized by high churn variability; Recent satisfaction neutral sentiment","customer was acquired through partner channels, where churn depends on integration quality; Seats; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: average session duration is strong (65.33 min); customer is currently in the trial phase, a stage characterized by high churn variability; Recent satisfaction neutral sentiment. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; Seats; customer was acquired via event-based channels, which historically show higher churn volatility."
A-df10db,0.016038965411628556,1.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels",average session duration is strong (12.72 min); long-term satisfaction is moderate; Seats,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels. Retention signals: average session duration is strong (12.72 min); long-term satisfaction is moderate; Seats."
A-e36807,0.05532075310836011,5.5%,"Seats; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality","customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is strong; average session duration is strong (69.60 min)",Low Risk,"Predicted churn risk is 5.5%. Key risk drivers: Seats; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is strong; average session duration is strong (69.60 min)."
A-e60f9d,0.016514269709674425,1.7%,"customer was acquired organically, a cohort associated with higher retention; Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: customer was acquired organically, a cohort associated with higher retention; Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-019782,0.019459550854807304,1.9%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility; customer sentiment is consistently negative, a strong churn predictor","long-term satisfaction scores are historically low, a strong churn predictor; Country us; Seats",Low Risk,"Predicted churn risk is 1.9%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility; customer sentiment is consistently negative, a strong churn predictor. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Country us; Seats."
A-331424,0.016639915360251133,1.7%,"Error sum; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality","Seats; customer was acquired organically, a cohort associated with higher retention; average session duration is strong (101.02 min)",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: Error sum; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; customer was acquired organically, a cohort associated with higher retention; average session duration is strong (101.02 min)."
A-427b69,0.017386172895997136,1.7%,"customer sentiment is consistently negative, a strong churn predictor; customer was acquired organically, a cohort associated with higher retention; Seats","long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (49.50 min); Referral source other",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: customer sentiment is consistently negative, a strong churn predictor; customer was acquired organically, a cohort associated with higher retention; Seats. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (49.50 min); Referral source other."
A-b7ef83,0.0155374114640279,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; customer sentiment is consistently negative, a strong churn predictor; Country uk","customer was acquired through partner channels, where churn depends on integration quality; Seats; average session duration is strong (38.73 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; customer sentiment is consistently negative, a strong churn predictor; Country uk. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; Seats; average session duration is strong (38.73 min)."
A-6a4e2d,0.01605177832158442,1.6%,"Country uk; Usage stable usage; customer was acquired organically, a cohort associated with higher retention","customer was acquired through partner channels, where churn depends on integration quality; Seats; short-term usage appears stable",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Country uk; Usage stable usage; customer was acquired organically, a cohort associated with higher retention. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; Seats; short-term usage appears stable."
A-9174e0,0.020199414380868315,2.0%,Seats; long-term satisfaction is moderate; Ticket elevated,"customer was acquired through partner channels, where churn depends on integration quality; average session duration is low (4.77 min), reflecting weak product engagement; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 2.0%. Key risk drivers: Seats; long-term satisfaction is moderate; Ticket elevated. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; average session duration is low (4.77 min), reflecting weak product engagement; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-aa9511,0.06414040571216346,6.4%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor; customer is currently in the trial phase, a stage characterized by high churn variability","Seats; Reason code competitor; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels",Low Risk,"Predicted churn risk is 6.4%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor; customer is currently in the trial phase, a stage characterized by high churn variability. Retention signals: Seats; Reason code competitor; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels."
A-956988,0.015453246668516088,1.5%,"recent satisfaction levels are weakening; customer was acquired through partner channels, where churn depends on integration quality; Recent satisfaction neutral sentiment","long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (81.20 min); Seats",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: recent satisfaction levels are weakening; customer was acquired through partner channels, where churn depends on integration quality; Recent satisfaction neutral sentiment. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (81.20 min); Seats."
A-09540c,0.016321816517549215,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; Ticket elevated; moderate support request volume (2 tickets)","average session duration is low (3.17 min), reflecting weak product engagement; Seats; long-term satisfaction is strong",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; Ticket elevated; moderate support request volume (2 tickets). Retention signals: average session duration is low (3.17 min), reflecting weak product engagement; Seats; long-term satisfaction is strong."
A-ff3c73,0.015434021351853632,1.5%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count","average session duration is strong (19.43 min); Seats; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count. Retention signals: average session duration is strong (19.43 min); Seats; customer was acquired via event-based channels, which historically show higher churn volatility."
A-f44180,0.1157426048134016,11.6%,"average session duration is strong (88.25 min); customer was acquired via event-based channels, which historically show higher churn volatility; moderate support request volume (2 tickets)","long-term satisfaction is strong; Reason code competitor; customer is currently in the trial phase, a stage characterized by high churn variability",Low Risk,"Predicted churn risk is 11.6%. Key risk drivers: average session duration is strong (88.25 min); customer was acquired via event-based channels, which historically show higher churn volatility; moderate support request volume (2 tickets). Retention signals: long-term satisfaction is strong; Reason code competitor; customer is currently in the trial phase, a stage characterized by high churn variability."
A-6e7827,0.015882100618696993,1.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention",average session duration is strong (20.77 min); long-term satisfaction is moderate; Referral source other,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention. Retention signals: average session duration is strong (20.77 min); long-term satisfaction is moderate; Referral source other."
A-ac14bb,0.015404641683402125,1.5%,"customer sentiment is consistently negative, a strong churn predictor; customer was acquired organically, a cohort associated with higher retention; Recent usage engaged","Seats; customer was acquired through partner channels, where churn depends on integration quality; Reason code competitor",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer sentiment is consistently negative, a strong churn predictor; customer was acquired organically, a cohort associated with higher retention; Recent usage engaged. Retention signals: Seats; customer was acquired through partner channels, where churn depends on integration quality; Reason code competitor."
A-65aeb5,0.05975704063108958,6.0%,"long-term satisfaction is moderate; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired organically, a cohort associated with higher retention","customer was acquired through partner channels, where churn depends on integration quality; customer is currently in the trial phase, a stage characterized by high churn variability; customer sentiment is consistently negative, a strong churn predictor",Low Risk,"Predicted churn risk is 6.0%. Key risk drivers: long-term satisfaction is moderate; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired organically, a cohort associated with higher retention. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; customer is currently in the trial phase, a stage characterized by high churn variability; customer sentiment is consistently negative, a strong churn predictor."
A-cc8c8f,0.0179399274720442,1.8%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; Referral source other","Seats; average session duration is strong (35.40 min); customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; Referral source other. Retention signals: Seats; average session duration is strong (35.40 min); customer was acquired via event-based channels, which historically show higher churn volatility."
A-db5e9e,0.01588586518403794,1.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Error sum; customer was acquired organically, a cohort associated with higher retention","customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is strong; average session duration is strong (118.77 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Error sum; customer was acquired organically, a cohort associated with higher retention. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is strong; average session duration is strong (118.77 min)."
A-dcc2f0,0.015302027475052575,1.5%,"Country uk; Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction scores are historically low, a strong churn predictor; Seats; average session duration is strong (33.15 min)",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: Country uk; Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Seats; average session duration is strong (33.15 min)."
A-029f69,0.015563797332672779,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk","long-term satisfaction scores are historically low, a strong churn predictor; Seats; average session duration is strong (17.20 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Seats; average session duration is strong (17.20 min)."
A-2bc93d,0.8005271348032875,80.1%,"customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is strong; average session duration is strong (77.83 min)","short-term usage appears stable; Seats; customer is currently in the trial phase, a stage characterized by high churn variability",High Risk,"Predicted churn risk is 80.1%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is strong; average session duration is strong (77.83 min). Retention signals: short-term usage appears stable; Seats; customer is currently in the trial phase, a stage characterized by high churn variability."
A-58b9ff,0.27578199028960526,27.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor; Usage stable usage","Seats; customer was acquired through partner channels, where churn depends on integration quality; Country us",Low Risk,"Predicted churn risk is 27.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor; Usage stable usage. Retention signals: Seats; customer was acquired through partner channels, where churn depends on integration quality; Country us."
A-157070,0.015832995243066663,1.6%,"Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention","Seats; Reason code features; long-term satisfaction scores are historically low, a strong churn predictor",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention. Retention signals: Seats; Reason code features; long-term satisfaction scores are historically low, a strong churn predictor."
A-e51ec7,0.015253550671221408,1.5%,Error sum; Ticket high risk; Reason code support,"Seats; long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: Error sum; Ticket high risk; Reason code support. Retention signals: Seats; long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality."
A-1b707d,0.016076929757733855,1.6%,Country us; Usage stable usage; Referral source other,"customer was acquired organically, a cohort associated with higher retention; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Country us; Usage stable usage; Referral source other. Retention signals: customer was acquired organically, a cohort associated with higher retention; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor."
A-016043,0.01583186837605857,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; average session duration is strong (74.93 min); customer sentiment is consistently negative, a strong churn predictor","Error sum; customer was acquired organically, a cohort associated with higher retention; long-term satisfaction scores are historically low, a strong churn predictor",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; average session duration is strong (74.93 min); customer sentiment is consistently negative, a strong churn predictor. Retention signals: Error sum; customer was acquired organically, a cohort associated with higher retention; long-term satisfaction scores are historically low, a strong churn predictor."
A-474ad4,0.016186027773236356,1.6%,"Seats; customer sentiment is consistently negative, a strong churn predictor; Country us","long-term satisfaction scores are historically low, a strong churn predictor; Error sum; customer was acquired organically, a cohort associated with higher retention",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; customer sentiment is consistently negative, a strong churn predictor; Country us. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Error sum; customer was acquired organically, a cohort associated with higher retention."
A-42b791,0.021080885147713883,2.1%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer was acquired organically, a cohort associated with higher retention; average session duration is strong (50.17 min)","Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels",Low Risk,"Predicted churn risk is 2.1%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer was acquired organically, a cohort associated with higher retention; average session duration is strong (50.17 min). Retention signals: Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels."
A-c16b88,0.01563627592452374,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired organically, a cohort associated with higher retention","Seats; long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (48.67 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired organically, a cohort associated with higher retention. Retention signals: Seats; long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (48.67 min)."
A-bbc346,0.015618153178034472,1.6%,"customer belongs to the FinTech industry segment, which exhibits distinct retention behavior; moderate support request volume (3 tickets); customer sentiment appears neutral and may indicate disengagement risk","customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate; average session duration is strong (102.60 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the FinTech industry segment, which exhibits distinct retention behavior; moderate support request volume (3 tickets); customer sentiment appears neutral and may indicate disengagement risk. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate; average session duration is strong (102.60 min)."
A-bd4513,0.01563257469899875,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is currently in the trial phase, a stage characterized by high churn variability",Seats; average session duration is strong (100.10 min); long-term satisfaction is strong,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is currently in the trial phase, a stage characterized by high churn variability. Retention signals: Seats; average session duration is strong (100.10 min); long-term satisfaction is strong."
A-b7724f,0.015423241459270985,1.5%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor; Country uk","Seats; average session duration is strong (18.70 min); customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; long-term satisfaction scores are historically low, a strong churn predictor; Country uk. Retention signals: Seats; average session duration is strong (18.70 min); customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-bb2f49,0.017255376026502463,1.7%,"Seats; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality","average session duration is strong (34.65 min); customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; Referral source other",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: Seats; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: average session duration is strong (34.65 min); customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; Referral source other."
A-bb1486,0.016125684428477175,1.6%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country us; Ticket high risk","average session duration is strong (34.07 min); Seats; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country us; Ticket high risk. Retention signals: average session duration is strong (34.07 min); Seats; customer was acquired via event-based channels, which historically show higher churn volatility."
