account_id,churn_probability,churn_probability_percent,top_reasons,risk_level,explanation
A-970c97,0.017060545018834306,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Country de",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Country de."
A-dec005,0.015489346398900762,1.5%,"Country us; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer sentiment is consistently negative, a strong churn predictor",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: Country us; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer sentiment is consistently negative, a strong churn predictor."
A-df1e44,0.020508018444775792,2.1%,"customer was acquired through partner channels, where churn depends on integration quality; Country uk; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 2.1%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Country uk; long-term satisfaction is moderate."
A-2f6a32,0.019472164121893024,1.9%,"Seats; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 1.9%. Key drivers include: Seats; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; long-term satisfaction is moderate."
A-1f0636,0.018006517381477974,1.8%,average session duration is strong (76.48 min); moderate support request volume (2 tickets); Ticket elevated,Low Risk,Predicted churn risk is 1.8%. Key drivers include: average session duration is strong (76.48 min); moderate support request volume (2 tickets); Ticket elevated.
A-2922b6,0.017191568827614863,1.7%,"average session duration is strong (22.40 min); customer sentiment is consistently negative, a strong churn predictor; long-term satisfaction scores are historically low, a strong churn predictor",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: average session duration is strong (22.40 min); customer sentiment is consistently negative, a strong churn predictor; long-term satisfaction scores are historically low, a strong churn predictor."
A-2ebb4b,0.017028731558402063,1.7%,Ticket stable; moderate support request volume (2 tickets); average session duration is moderate (7.82 min),Low Risk,Predicted churn risk is 1.7%. Key drivers include: Ticket stable; moderate support request volume (2 tickets); average session duration is moderate (7.82 min).
A-bf7919,0.015702347928820762,1.6%,"Reason code support; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Reason code support; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; long-term satisfaction is moderate."
A-d77f4c,0.016688976733723566,1.7%,"Recent satisfaction neutral sentiment; customer is currently in the trial phase, a stage characterized by high churn variability; average session duration is strong (65.33 min)",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: Recent satisfaction neutral sentiment; customer is currently in the trial phase, a stage characterized by high churn variability; average session duration is strong (65.33 min)."
A-df10db,0.016038965411628556,1.6%,"customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-e36807,0.05532075310836011,5.5%,"customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Seats",Low Risk,"Predicted churn risk is 5.5%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Seats."
A-e60f9d,0.016514269709674425,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk; customer was acquired organically, a cohort associated with higher retention",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk; customer was acquired organically, a cohort associated with higher retention."
A-019782,0.019459550854807304,1.9%,"customer sentiment is consistently negative, a strong churn predictor; customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.9%. Key drivers include: customer sentiment is consistently negative, a strong churn predictor; customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-331424,0.016639915360251133,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Error sum",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Error sum."
A-427b69,0.017386172895997136,1.7%,"Seats; customer was acquired organically, a cohort associated with higher retention; customer sentiment is consistently negative, a strong churn predictor",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: Seats; customer was acquired organically, a cohort associated with higher retention; customer sentiment is consistently negative, a strong churn predictor."
A-b7ef83,0.0155374114640279,1.6%,"Country uk; customer sentiment is consistently negative, a strong churn predictor; customer is currently in the trial phase, a stage characterized by high churn variability",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Country uk; customer sentiment is consistently negative, a strong churn predictor; customer is currently in the trial phase, a stage characterized by high churn variability."
A-6a4e2d,0.01605177832158442,1.6%,"customer was acquired organically, a cohort associated with higher retention; Usage stable usage; Country uk",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; Usage stable usage; Country uk."
A-9174e0,0.020199414380868315,2.0%,Ticket elevated; long-term satisfaction is moderate; Seats,Low Risk,Predicted churn risk is 2.0%. Key drivers include: Ticket elevated; long-term satisfaction is moderate; Seats.
A-aa9511,0.06414040571216346,6.4%,"customer is currently in the trial phase, a stage characterized by high churn variability; long-term satisfaction scores are historically low, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 6.4%. Key drivers include: customer is currently in the trial phase, a stage characterized by high churn variability; long-term satisfaction scores are historically low, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-956988,0.015453246668516088,1.5%,"Recent satisfaction neutral sentiment; customer was acquired through partner channels, where churn depends on integration quality; recent satisfaction levels are weakening",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: Recent satisfaction neutral sentiment; customer was acquired through partner channels, where churn depends on integration quality; recent satisfaction levels are weakening."
A-09540c,0.016321816517549215,1.6%,"moderate support request volume (2 tickets); Ticket elevated; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: moderate support request volume (2 tickets); Ticket elevated; customer was acquired via event-based channels, which historically show higher churn volatility."
A-ff3c73,0.015434021351853632,1.5%,"Recent ticket count; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: Recent ticket count; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior."
A-f44180,0.1157426048134016,11.6%,"moderate support request volume (2 tickets); customer was acquired via event-based channels, which historically show higher churn volatility; average session duration is strong (88.25 min)",Low Risk,"Predicted churn risk is 11.6%. Key drivers include: moderate support request volume (2 tickets); customer was acquired via event-based channels, which historically show higher churn volatility; average session duration is strong (88.25 min)."
A-6e7827,0.015882100618696993,1.6%,"customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-ac14bb,0.015404641683402125,1.5%,"Recent usage engaged; customer was acquired organically, a cohort associated with higher retention; customer sentiment is consistently negative, a strong churn predictor",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: Recent usage engaged; customer was acquired organically, a cohort associated with higher retention; customer sentiment is consistently negative, a strong churn predictor."
A-65aeb5,0.05975704063108958,6.0%,"customer was acquired organically, a cohort associated with higher retention; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 6.0%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; long-term satisfaction is moderate."
A-cc8c8f,0.0179399274720442,1.8%,"Referral source other; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: Referral source other; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-db5e9e,0.01588586518403794,1.6%,"customer was acquired organically, a cohort associated with higher retention; Error sum; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; Error sum; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-dcc2f0,0.015302027475052575,1.5%,"customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk; Country uk",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk; Country uk."
A-029f69,0.015563797332672779,1.6%,"Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired via event-based channels, which historically show higher churn volatility."
A-2bc93d,0.8005271348032875,80.1%,"average session duration is strong (77.83 min); long-term satisfaction is strong; customer was acquired via event-based channels, which historically show higher churn volatility",High Risk,"Predicted churn risk is 80.1%. Key drivers include: average session duration is strong (77.83 min); long-term satisfaction is strong; customer was acquired via event-based channels, which historically show higher churn volatility."
A-58b9ff,0.27578199028960526,27.6%,"Usage stable usage; long-term satisfaction scores are historically low, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 27.6%. Key drivers include: Usage stable usage; long-term satisfaction scores are historically low, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-157070,0.015832995243066663,1.6%,"customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk."
A-e51ec7,0.015253550671221408,1.5%,Reason code support; Ticket high risk; Error sum,Low Risk,Predicted churn risk is 1.5%. Key drivers include: Reason code support; Ticket high risk; Error sum.
A-1b707d,0.016076929757733855,1.6%,Referral source other; Usage stable usage; Country us,Low Risk,Predicted churn risk is 1.6%. Key drivers include: Referral source other; Usage stable usage; Country us.
A-016043,0.01583186837605857,1.6%,"customer sentiment is consistently negative, a strong churn predictor; average session duration is strong (74.93 min); customer is currently in the trial phase, a stage characterized by high churn variability",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer sentiment is consistently negative, a strong churn predictor; average session duration is strong (74.93 min); customer is currently in the trial phase, a stage characterized by high churn variability."
A-474ad4,0.016186027773236356,1.6%,"Country us; customer sentiment is consistently negative, a strong churn predictor; Seats",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Country us; customer sentiment is consistently negative, a strong churn predictor; Seats."
A-42b791,0.021080885147713883,2.1%,"average session duration is strong (50.17 min); customer was acquired organically, a cohort associated with higher retention; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 2.1%. Key drivers include: average session duration is strong (50.17 min); customer was acquired organically, a cohort associated with higher retention; customer was acquired via event-based channels, which historically show higher churn volatility."
A-c16b88,0.01563627592452374,1.6%,"customer was acquired organically, a cohort associated with higher retention; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility."
A-bbc346,0.015618153178034472,1.6%,"customer sentiment appears neutral and may indicate disengagement risk; moderate support request volume (3 tickets); customer belongs to the FinTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer sentiment appears neutral and may indicate disengagement risk; moderate support request volume (3 tickets); customer belongs to the FinTech industry segment, which exhibits distinct retention behavior."
A-bd4513,0.01563257469899875,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer is currently in the trial phase, a stage characterized by high churn variability; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility."
A-b7724f,0.015423241459270985,1.5%,"Country uk; long-term satisfaction scores are historically low, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: Country uk; long-term satisfaction scores are historically low, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior."
A-bb2f49,0.017255376026502463,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Seats",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Seats."
A-bb1486,0.016125684428477175,1.6%,"Ticket high risk; Country us; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; Country us; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior."
A-cc98bc,0.016579658651960722,1.7%,"Country us; customer sentiment is consistently negative, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: Country us; customer sentiment is consistently negative, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-c45b23,0.016450857402645232,1.6%,"customer was acquired organically, a cohort associated with higher retention; Country uk; Seats",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; Country uk; Seats."
A-c43359,0.0156520309205827,1.6%,"Ticket high risk; Country us; customer sentiment is consistently negative, a strong churn predictor",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; Country us; customer sentiment is consistently negative, a strong churn predictor."
A-c1dfe1,0.017417120406648813,1.7%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Country de; Seats",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Country de; Seats."
A-b44e3e,0.01626793298514956,1.6%,"customer was acquired organically, a cohort associated with higher retention; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; Country uk",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; Country uk."
A-3d957b,0.015565221457856633,1.6%,"Error sum; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country uk",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Error sum; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country uk."
A-3a7284,0.017061657755524543,1.7%,"customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; long-term satisfaction is moderate."
A-c16cf7,0.03387272615605723,3.4%,"average session duration is strong (53.53 min); long-term satisfaction is moderate; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 3.4%. Key drivers include: average session duration is strong (53.53 min); long-term satisfaction is moderate; customer was acquired via event-based channels, which historically show higher churn volatility."
A-e5d6ab,0.01550049959026674,1.6%,Country us; Ticket high risk; average session duration is strong (10.08 min),Low Risk,Predicted churn risk is 1.6%. Key drivers include: Country us; Ticket high risk; average session duration is strong (10.08 min).
A-02cd81,0.01566897023484127,1.6%,"customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; short-term usage appears stable; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; short-term usage appears stable; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior."
A-4ef964,0.029387457455259083,2.9%,"customer was acquired through partner channels, where churn depends on integration quality; Country us; Seats",Low Risk,"Predicted churn risk is 2.9%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Country us; Seats."
A-51ec1b,0.021033132286647587,2.1%,"customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 2.1%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-af0cd2,0.015458035935775938,1.5%,"customer was acquired through partner channels, where churn depends on integration quality; customer is currently in the trial phase, a stage characterized by high churn variability; Ticket high risk",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer is currently in the trial phase, a stage characterized by high churn variability; Ticket high risk."
A-ad3abd,0.015855066866864134,1.6%,"customer sentiment is consistently negative, a strong churn predictor; customer was acquired via event-based channels, which historically show higher churn volatility; Error sum",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer sentiment is consistently negative, a strong churn predictor; customer was acquired via event-based channels, which historically show higher churn volatility; Error sum."
A-adc1f3,0.015645977348551762,1.6%,"Referral source other; customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Referral source other; customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate."
A-ad296b,0.017939315472625943,1.8%,"customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility."
A-ac9111,0.015473077140017081,1.5%,"customer sentiment is consistently negative, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.5%. Key drivers include: customer sentiment is consistently negative, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility."
A-ac85cd,0.015647793091809054,1.6%,Ticket high risk; Country us; long-term satisfaction is moderate,Low Risk,Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; Country us; long-term satisfaction is moderate.
A-922109,0.016191578896984207,1.6%,"customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk; customer was acquired organically, a cohort associated with higher retention",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Ticket high risk; customer was acquired organically, a cohort associated with higher retention."
A-9077b0,0.017180358859169614,1.7%,"customer was acquired organically, a cohort associated with higher retention; long-term satisfaction is strong; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; long-term satisfaction is strong; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior."
A-8bde0c,0.016820072758345322,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-5a3eb9,0.01683680569494981,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-a1bbb6,0.015965689976111277,1.6%,"Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-a33200,0.015509212956838861,1.6%,"Ticket high risk; Seats; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; Seats; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior."
A-9affe6,0.017188581796159945,1.7%,"Country us; customer was acquired organically, a cohort associated with higher retention; Seats",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: Country us; customer was acquired organically, a cohort associated with higher retention; Seats."
A-94f8c9,0.016966869937093027,1.7%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; customer was acquired organically, a cohort associated with higher retention",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; customer was acquired organically, a cohort associated with higher retention."
A-7d514c,0.022739657510923477,2.3%,"Country de; customer sentiment is consistently negative, a strong churn predictor; Seats",Low Risk,"Predicted churn risk is 2.3%. Key drivers include: Country de; customer sentiment is consistently negative, a strong churn predictor; Seats."
A-7da956,0.01773291792042329,1.8%,"customer sentiment is consistently negative, a strong churn predictor; customer is currently in the trial phase, a stage characterized by high churn variability; Error sum",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: customer sentiment is consistently negative, a strong churn predictor; customer is currently in the trial phase, a stage characterized by high churn variability; Error sum."
A-7988d1,0.015551718682858517,1.6%,"customer was acquired organically, a cohort associated with higher retention; moderate support request volume (3 tickets); long-term satisfaction is strong",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; moderate support request volume (3 tickets); long-term satisfaction is strong."
A-6c093d,0.015966299980716768,1.6%,"Country us; customer sentiment is consistently negative, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: Country us; customer sentiment is consistently negative, a strong churn predictor; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-726cfa,0.018221209599798838,1.8%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired organically, a cohort associated with higher retention; average session duration is strong (86.67 min)",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired organically, a cohort associated with higher retention; average session duration is strong (86.67 min)."
A-0cc442,0.01591988056772155,1.6%,Ticket high risk; Country us; Recent satisfaction neutral sentiment,Low Risk,Predicted churn risk is 1.6%. Key drivers include: Ticket high risk; Country us; Recent satisfaction neutral sentiment.
A-0a282f,0.016035463058370236,1.6%,"customer was acquired through partner channels, where churn depends on integration quality; Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-089363,0.48625884738848035,48.6%,"recent satisfaction appears stable; long-term satisfaction is moderate; customer was acquired via event-based channels, which historically show higher churn volatility",Medium Risk,"Predicted churn risk is 48.6%. Key drivers include: recent satisfaction appears stable; long-term satisfaction is moderate; customer was acquired via event-based channels, which historically show higher churn volatility."
