,subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,usage_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,usage_duration_min,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag,reference_date,reference_month_int,ticket_month_int,months_before_reference
313,S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,U-3a5200,2023-02-13,feature_13,12,1812,0,False,30.2,T-667845,2024-09-17,2024-09-17 11:00:00,11.0,urgent,77,3.0,False,2024-12-31,659,656,-3
316,S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,U-3a5200,2023-02-13,feature_13,12,1812,0,False,30.2,T-d8b95c,2024-03-29,2024-03-29 06:00:00,6.0,urgent,5,4.0,False,2024-12-31,659,650,-9
317,S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,U-3a5200,2023-02-13,feature_13,12,1812,0,False,30.2,T-6c2263,2024-09-14,2024-09-14 17:00:00,17.0,medium,150,3.0,False,2024-12-31,659,656,-3
364,S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,False,False,False,True,annual,True,U-babf31,2023-12-04,feature_40,7,1113,1,False,18.55,T-7b13df,2024-08-01,2024-08-01 23:00:00,23.0,low,35,0.0,False,2024-12-31,659,655,-4
365,S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,False,False,False,True,annual,True,U-babf31,2023-12-04,feature_40,7,1113,1,False,18.55,T-e17f8c,2024-02-02,2024-02-02 17:00:00,17.0,low,66,4.0,False,2024-12-31,659,649,-10
385,S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,False,False,True,True,annual,True,U-da20c9,2023-06-23,feature_17,6,1830,1,False,30.5,T-601022,2024-10-04,2024-10-05 19:00:00,43.0,low,32,5.0,True,2024-12-31,659,657,-2
386,S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,False,False,True,True,annual,True,U-da20c9,2023-06-23,feature_17,6,1830,1,False,30.5,T-2b2a49,2024-06-04,2024-06-05 04:00:00,28.0,medium,174,0.0,False,2024-12-31,659,653,-6
388,S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,False,False,True,True,annual,True,U-da20c9,2023-06-23,feature_17,6,1830,1,False,30.5,T-bc2607,2024-08-06,2024-08-08 17:00:00,65.0,high,155,5.0,False,2024-12-31,659,655,-4
408,S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,False,False,False,True,annual,True,U-7ccbc2,2024-02-01,feature_6,13,3757,1,False,62.61666666666667,T-65d099,2024-02-09,2024-02-11 22:00:00,70.0,urgent,81,0.0,False,2024-12-31,659,649,-10
409,S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,False,False,False,True,annual,True,U-7ccbc2,2024-02-01,feature_6,13,3757,1,False,62.61666666666667,T-77863a,2024-01-27,2024-01-29 23:00:00,71.0,urgent,132,0.0,False,2024-12-31,659,648,-11
418,S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,False,True,False,True,monthly,True,U-9350ce,2023-04-07,feature_31,16,7488,0,False,124.8,T-88949f,2024-10-26,2024-10-27 19:00:00,43.0,low,173,0.0,False,2024-12-31,659,657,-2
421,S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,False,True,False,True,monthly,True,U-9350ce,2023-04-07,feature_31,16,7488,0,False,124.8,T-d1454f,2024-09-12,2024-09-12 17:00:00,17.0,medium,42,4.0,False,2024-12-31,659,656,-3
422,S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,False,True,False,True,monthly,True,U-9350ce,2023-04-07,feature_31,16,7488,0,False,124.8,T-49f7fa,2024-04-20,2024-04-20 18:00:00,18.0,high,139,0.0,False,2024-12-31,659,651,-8
449,S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,U-ec609d,2023-02-04,feature_38,4,388,0,False,6.466666666666667,T-604490,2024-09-13,2024-09-15 10:00:00,58.0,low,115,4.0,False,2024-12-31,659,656,-3
451,S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,U-ec609d,2023-02-04,feature_38,4,388,0,False,6.466666666666667,T-99ec8e,2024-11-14,2024-11-16 15:00:00,63.0,low,129,3.0,False,2024-12-31,659,658,-1
452,S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,U-ec609d,2023-02-04,feature_38,4,388,0,False,6.466666666666667,T-d85104,2024-06-18,2024-06-18 23:00:00,23.0,low,151,5.0,False,2024-12-31,659,653,-6
453,S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,U-ec609d,2023-02-04,feature_38,4,388,0,False,6.466666666666667,T-2b3584,2024-02-14,2024-02-15 09:00:00,33.0,low,120,5.0,False,2024-12-31,659,649,-10
500,S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0,0,True,False,False,True,annual,True,U-29a06e,2024-09-03,feature_13,14,7308,0,False,121.8,T-820846,2024-07-30,2024-07-30 10:00:00,10.0,medium,44,0.0,False,2024-12-31,659,654,-5
501,S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0,0,True,False,False,True,annual,True,U-29a06e,2024-09-03,feature_13,14,7308,0,False,121.8,T-6b1bf1,2024-01-20,2024-01-21 10:00:00,34.0,medium,5,3.0,False,2024-12-31,659,648,-11
507,S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,False,False,False,True,monthly,True,U-83a6c5,2023-01-03,feature_26,13,6591,0,False,109.85,T-e6d8dd,2024-08-10,2024-08-10 22:00:00,22.0,urgent,175,5.0,False,2024-12-31,659,655,-4
508,S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,False,False,False,True,monthly,True,U-83a6c5,2023-01-03,feature_26,13,6591,0,False,109.85,T-d6e90f,2024-03-22,2024-03-24 21:00:00,69.0,urgent,142,3.0,False,2024-12-31,659,650,-9
509,S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,False,False,False,True,monthly,True,U-83a6c5,2023-01-03,feature_26,13,6591,0,False,109.85,T-2d3ea5,2024-08-27,2024-08-28 02:00:00,26.0,urgent,124,0.0,False,2024-12-31,659,655,-4
510,S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,False,False,False,True,monthly,True,U-83a6c5,2023-01-03,feature_26,13,6591,0,False,109.85,T-0ec7ca,2024-02-13,2024-02-14 11:00:00,35.0,low,59,3.0,False,2024-12-31,659,649,-10
511,S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,False,False,False,True,monthly,True,U-83a6c5,2023-01-03,feature_26,13,6591,0,False,109.85,T-5b2cc5,2024-08-01,2024-08-01 07:00:00,7.0,low,169,0.0,False,2024-12-31,659,655,-4
538,S-4f0027,A-ff79f2,2024-12-31,2024-12-31,Enterprise,19,3781,45372,False,False,False,True,annual,True,U-712c55,2024-05-30,feature_33,6,354,0,False,5.9,T-2e5c7e,2024-09-04,2024-09-06 15:00:00,63.0,low,136,0.0,False,2024-12-31,659,656,-3
539,S-4f0027,A-ff79f2,2024-12-31,2024-12-31,Enterprise,19,3781,45372,False,False,False,True,annual,True,U-712c55,2024-05-30,feature_33,6,354,0,False,5.9,T-0d0fed,2023-12-30,2023-12-31 13:00:00,37.0,medium,29,0.0,False,2024-12-31,659,647,-12
550,S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399,4788,False,False,False,True,monthly,False,U-c8168c,2023-10-15,feature_26,6,606,0,False,10.1,T-13f1b8,2023-12-05,2023-12-06 02:00:00,26.0,low,121,5.0,False,2024-12-31,659,647,-12
551,S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399,4788,False,False,False,True,monthly,False,U-c8168c,2023-10-15,feature_26,6,606,0,False,10.1,T-a8de52,2024-11-07,2024-11-07 17:00:00,17.0,medium,128,5.0,False,2024-12-31,659,658,-1
552,S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399,4788,False,False,False,True,monthly,False,U-c8168c,2023-10-15,feature_26,6,606,0,False,10.1,T-149155,2024-01-02,2024-01-02 11:00:00,11.0,medium,17,0.0,False,2024-12-31,659,648,-11
573,S-33e40e,A-86cdb4,2024-10-10,2024-12-29,Enterprise,2,398,4776,False,False,False,True,annual,True,U-f4490f,2024-10-19,feature_28,14,7994,0,False,133.23333333333332,T-c512cd,2024-11-07,2024-11-07 05:00:00,5.0,high,81,3.0,False,2024-12-31,659,658,-1
574,S-33e40e,A-86cdb4,2024-10-10,2024-12-29,Enterprise,2,398,4776,False,False,False,True,annual,True,U-f4490f,2024-10-19,feature_28,14,7994,0,False,133.23333333333332,T-5dc1bf,2024-03-29,2024-03-30 09:00:00,33.0,urgent,129,0.0,False,2024-12-31,659,650,-9
605,S-bbafad,A-854864,2024-12-27,2024-12-30,Basic,20,380,4560,False,False,False,True,annual,True,U-aed926,2024-03-25,feature_5,14,7196,0,False,119.93333333333334,T-04457d,2024-07-18,2024-07-20 00:00:00,48.0,medium,140,5.0,False,2024-12-31,659,654,-5
609,S-bbafad,A-854864,2024-12-27,2024-12-30,Basic,20,380,4560,False,False,False,True,annual,True,U-aed926,2024-03-25,feature_5,14,7196,0,False,119.93333333333334,T-01387f,2024-03-26,2024-03-27 21:00:00,45.0,low,74,5.0,False,2024-12-31,659,650,-9
627,S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,Enterprise,117,23283,279396,False,False,False,True,monthly,True,U-1ca4e3,2023-06-08,feature_40,8,656,1,True,10.933333333333334,T-2099b8,2024-08-18,2024-08-20 05:00:00,53.0,high,119,3.0,False,2024-12-31,659,655,-4
628,S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,Enterprise,117,23283,279396,False,False,False,True,monthly,True,U-1ca4e3,2023-06-08,feature_40,8,656,1,True,10.933333333333334,T-263799,2024-02-15,2024-02-16 05:00:00,29.0,medium,6,0.0,False,2024-12-31,659,649,-10
637,S-936732,A-2f6a32,2024-11-28,2024-12-06,Pro,19,931,11172,False,False,False,True,annual,True,U-ffc02f,2023-08-03,feature_36,11,3927,0,False,65.45,T-b3739a,2023-12-27,2023-12-28 01:00:00,25.0,medium,139,3.0,False,2024-12-31,659,647,-12
638,S-936732,A-2f6a32,2024-11-28,2024-12-06,Pro,19,931,11172,False,False,False,True,annual,True,U-ffc02f,2023-08-03,feature_36,11,3927,0,False,65.45,T-c30ac0,2024-05-06,2024-05-08 09:00:00,57.0,medium,5,4.0,False,2024-12-31,659,652,-7
647,S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,U-e5b4b3,2024-12-12,feature_39,10,1340,0,False,22.333333333333332,T-0e1c0e,2024-07-06,2024-07-08 16:00:00,64.0,high,161,5.0,False,2024-12-31,659,654,-5
648,S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,U-e5b4b3,2024-12-12,feature_39,10,1340,0,False,22.333333333333332,T-203b1e,2024-06-12,2024-06-14 00:00:00,48.0,high,92,4.0,False,2024-12-31,659,653,-6
650,S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,U-e5b4b3,2024-12-12,feature_39,10,1340,0,False,22.333333333333332,T-da4f37,2024-09-01,2024-09-01 09:00:00,9.0,low,161,4.0,False,2024-12-31,659,656,-3
651,S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,U-e5b4b3,2024-12-12,feature_39,10,1340,0,False,22.333333333333332,T-3aa7e7,2024-02-28,2024-02-29 09:00:00,33.0,low,96,0.0,False,2024-12-31,659,649,-10
652,S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,U-e5b4b3,2024-12-12,feature_39,10,1340,0,False,22.333333333333332,T-9b56ac,2024-08-20,2024-08-20 22:00:00,22.0,medium,156,3.0,False,2024-12-31,659,655,-4
661,S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,False,False,False,True,annual,True,U-6930b1,2024-01-25,feature_28,11,781,1,False,13.016666666666667,T-2b1a0a,2024-10-05,2024-10-05 13:00:00,13.0,medium,35,4.0,True,2024-12-31,659,657,-2
664,S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,False,False,False,True,annual,True,U-6930b1,2024-01-25,feature_28,11,781,1,False,13.016666666666667,T-90e0e9,2024-05-14,2024-05-16 03:00:00,51.0,medium,36,4.0,False,2024-12-31,659,652,-7
665,S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,False,False,False,True,annual,True,U-6930b1,2024-01-25,feature_28,11,781,1,False,13.016666666666667,T-fcfcf7,2024-02-13,2024-02-13 05:00:00,5.0,low,82,4.0,False,2024-12-31,659,649,-10
682,S-4afb53,A-40de06,2023-12-12,2024-12-29,Enterprise,28,5572,66864,False,False,False,True,monthly,True,U-9fae66,2024-08-06,feature_2,9,729,0,False,12.15,T-a67c6a,2024-02-18,2024-02-20 07:00:00,55.0,urgent,24,0.0,False,2024-12-31,659,649,-10
696,S-85796b,A-f19409,2024-08-27,2024-10-31,Enterprise,23,4577,54924,False,False,False,True,monthly,True,U-024c31,2023-07-20,feature_32,14,7280,0,True,121.33333333333333,T-84717f,2024-11-12,2024-11-12 01:00:00,1.0,urgent,90,4.0,False,2024-12-31,659,658,-1
717,S-4bef15,A-600734,2024-08-14,2024-09-22,Enterprise,29,0,0,True,False,False,True,annual,True,U-b7f3c5,2024-02-06,feature_27,4,1544,0,False,25.733333333333334,T-d15fe8,2024-03-15,2024-03-17 19:00:00,67.0,high,88,4.0,False,2024-12-31,659,650,-9
718,S-4bef15,A-600734,2024-08-14,2024-09-22,Enterprise,29,0,0,True,False,False,True,annual,True,U-b7f3c5,2024-02-06,feature_27,4,1544,0,False,25.733333333333334,T-3cdeb2,2024-09-09,2024-09-11 17:00:00,65.0,medium,88,0.0,False,2024-12-31,659,656,-3
731,S-61e53d,A-d42431,2024-11-15,2024-12-14,Basic,22,418,5016,False,False,False,True,annual,False,U-fe1607,2023-02-24,feature_10,12,1176,0,False,19.6,T-4a12e6,2024-08-07,2024-08-08 23:00:00,47.0,urgent,108,5.0,False,2024-12-31,659,655,-4
757,S-8324d4,A-5a215a,2024-07-13,2024-08-03,Pro,87,0,0,True,False,False,True,monthly,True,U-ad8fcf,2024-05-17,feature_19,11,6435,1,False,107.25,T-7a84fc,2024-09-13,2024-09-14 00:00:00,24.0,low,4,5.0,False,2024-12-31,659,656,-3
758,S-8324d4,A-5a215a,2024-07-13,2024-08-03,Pro,87,0,0,True,False,False,True,monthly,True,U-ad8fcf,2024-05-17,feature_19,11,6435,1,False,107.25,T-f1d9e6,2024-06-10,2024-06-10 18:00:00,18.0,medium,4,3.0,False,2024-12-31,659,653,-6
775,S-93fab3,A-9f9299,2024-11-10,2024-12-31,Pro,28,1372,16464,False,False,False,True,annual,True,U-015511,2023-03-16,feature_40,13,585,0,False,9.75,T-d2e273,2024-10-05,2024-10-05 05:00:00,5.0,high,94,0.0,False,2024-12-31,659,657,-2
778,S-93fab3,A-9f9299,2024-11-10,2024-12-31,Pro,28,1372,16464,False,False,False,True,annual,True,U-015511,2023-03-16,feature_40,13,585,0,False,9.75,T-27e2a5,2024-09-11,2024-09-13 19:00:00,67.0,low,42,0.0,False,2024-12-31,659,656,-3
810,S-24ae40,A-328bd0,2024-02-11,2024-03-28,Basic,18,342,4104,False,False,False,True,monthly,True,U-c3c752,2023-11-10,feature_28,7,2058,1,False,34.3,T-9e2480,2024-08-24,2024-08-26 22:00:00,70.0,high,26,4.0,False,2024-12-31,659,655,-4
811,S-24ae40,A-328bd0,2024-02-11,2024-03-28,Basic,18,342,4104,False,False,False,True,monthly,True,U-c3c752,2023-11-10,feature_28,7,2058,1,False,34.3,T-09eea1,2024-02-18,2024-02-19 16:00:00,40.0,medium,106,4.0,False,2024-12-31,659,649,-10
812,S-24ae40,A-328bd0,2024-02-11,2024-03-28,Basic,18,342,4104,False,False,False,True,monthly,True,U-c3c752,2023-11-10,feature_28,7,2058,1,False,34.3,T-6b989d,2024-09-06,2024-09-08 17:00:00,65.0,high,49,0.0,False,2024-12-31,659,656,-3
813,S-24ae40,A-328bd0,2024-02-11,2024-03-28,Basic,18,342,4104,False,False,False,True,monthly,True,U-c3c752,2023-11-10,feature_28,7,2058,1,False,34.3,T-d65b5b,2024-03-06,2024-03-07 23:00:00,47.0,medium,103,3.0,False,2024-12-31,659,650,-9
847,S-fee60b,A-4a267b,2024-09-22,2024-09-29,Pro,46,2254,27048,False,False,False,True,monthly,True,U-486054,2023-06-29,feature_6,12,6324,1,False,105.4,T-3b9875,2024-05-09,2024-05-11 04:00:00,52.0,urgent,168,0.0,False,2024-12-31,659,652,-7
873,S-d01053,A-779e4e,2023-11-12,2024-10-29,Enterprise,36,7164,85968,False,False,False,True,annual,True,U-bd8b94,2024-03-14,feature_5,5,80,0,False,1.3333333333333333,T-152c1d,2024-11-03,2024-11-04 16:00:00,40.0,urgent,171,5.0,False,2024-12-31,659,658,-1
896,S-321498,A-3a7284,2024-12-25,2024-12-31,Pro,31,0,0,True,False,False,True,monthly,True,U-b1cfee,2023-02-14,feature_18,6,3552,1,False,59.2,T-94fe73,2024-08-16,2024-08-18 19:00:00,67.0,urgent,56,4.0,False,2024-12-31,659,655,-4
904,S-627cfa,A-9bfc9f,2023-09-19,2024-01-04,Pro,53,2597,31164,False,False,False,True,monthly,True,U-186775,2023-10-21,feature_7,8,576,1,False,9.6,T-864e85,2024-03-01,2024-03-03 10:00:00,58.0,low,72,3.0,False,2024-12-31,659,650,-9
905,S-627cfa,A-9bfc9f,2023-09-19,2024-01-04,Pro,53,2597,31164,False,False,False,True,monthly,True,U-186775,2023-10-21,feature_7,8,576,1,False,9.6,T-8206d0,2024-09-23,2024-09-24 23:00:00,47.0,urgent,21,0.0,False,2024-12-31,659,656,-3
907,S-627cfa,A-9bfc9f,2023-09-19,2024-01-04,Pro,53,2597,31164,False,False,False,True,monthly,True,U-186775,2023-10-21,feature_7,8,576,1,False,9.6,T-41e58d,2024-02-29,2024-02-29 04:00:00,4.0,high,170,0.0,False,2024-12-31,659,649,-10
908,S-627cfa,A-9bfc9f,2023-09-19,2024-01-04,Pro,53,2597,31164,False,False,False,True,monthly,True,U-186775,2023-10-21,feature_7,8,576,1,False,9.6,T-2e3ee5,2024-09-21,2024-09-21 13:00:00,13.0,low,45,0.0,False,2024-12-31,659,656,-3
927,S-2e017b,A-432483,2023-04-02,2023-04-05,Pro,5,245,2940,False,False,False,True,annual,True,U-198824,2023-06-14,feature_35,9,1719,0,False,28.65,T-57f1af,2024-09-20,2024-09-22 03:00:00,51.0,urgent,128,0.0,False,2024-12-31,659,656,-3
931,S-63e282,A-6a4e2d,2024-10-15,2024-11-07,Pro,14,686,8232,False,True,False,True,annual,True,U-e92179,2024-02-05,feature_26,8,3352,0,False,55.86666666666667,T-538074,2024-04-20,2024-04-20 22:00:00,22.0,low,156,4.0,False,2024-12-31,659,651,-8
